Comment,Designator,Footprint,LCSC
100nF,C2,C_0805_2012Metric,
LM2937IMP-3.3 / 5.0,U2,SOT-223-3_TabPin2,
100nF,C1,C_0805_2012Metric,
0Ohm - D5 Jumper,R4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
0Ohm - D4 Jumper,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
10Âµf 16V,C4,C_0805_2012Metric,
KNX Pin SAVE - Optional,JP4,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
100 nf 25V,C3,C_0805_2012Metric,
100nF,C6,C_0805_2012Metric,
100nF 16V - (X5R 0805),C7,C_0805_2012Metric,
0Ohm - TXRX Jumper,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Screw Terminal - Isolated IOs,J4,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",
Screw Terminal - Non Isolated IOs,J3,"TerminalBlock_Phoenix_MPT-0,5-9-2.54_1x09_P2.54mm_Horizontal",
0Ohm - RXTX Jumper,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
OpenKNX_BCU,GN1,NanoBCU_PinSocket_LowProfile,
ADuM1201AR / ADum1250,U3,SOIC-8_3.9x4.9mm_P1.27mm,
100nF,C5,C_0805_2012Metric,
Prog BTN,SW1,SW_Push_1P1T_NO_CK_KMR2,
5V KNX voltage input,JP6,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Select U2 and Input Voltage,JP5,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,
Conn_KNX,J1,KNX_Connector,
ADum1250,U4,SOIC-8_3.9x4.9mm_P1.27mm,
Seeeduino XIAO,U1,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM-no-15-16-17-18-19-20-pad,
VCC Direct In/Out 3V3/5V,JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
SMAJ40CA-13-F,D3,D_SMA,
GND KNX voltage input,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
3V3 KNX voltage input,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Conn_01x05,J5,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,
Conn_01x05,J6,PinHeader_1x05_P1.00mm_Vertical,
